group_type	group_label	metric	target	n_pairs	pearson_r	pearson_p	spearman_rho	spearman_p
model_embed	answerdotai_ModernBERT-base | delta	all_var	p_cat	245	-0.4412592235863022	4.2675005359496845e-13	-0.49070563055642447	2.9942017027054716e-16
model_embed	answerdotai_ModernBERT-base | delta	form_sil	p_cat	224	-0.1992455968037874	0.0027404631487816106	-0.09123892431688325	0.1735961252606678
model_embed	answerdotai_ModernBERT-base | delta	form_var_mean	p_cat	224	-0.2579546858797732	9.406483647054207e-05	-0.24493650799012878	0.00021398029207289924
model_embed	answerdotai_ModernBERT-base | delta	k2_form_sil_ratio	p_cat	224	-0.6762297836165616	2.7116173225024828e-31	-0.40873341750583914	1.9751448635699607e-10
model_embed	answerdotai_ModernBERT-base | delta	k2_form_var_ratio	p_cat	224	0.735621829075404	2.025575299077918e-39	0.41134064987210517	1.4759310135717124e-10
model_embed	answerdotai_ModernBERT-base | delta	k2_sil	p_cat	245	-0.8304222867844435	1.1399486125420044e-63	-0.37765999790725646	1.003785692325399e-09
model_embed	answerdotai_ModernBERT-base | delta	k2_var_mean	p_cat	245	-0.03715615911765827	0.5627163452085474	-0.10671055812516374	0.09561304078741575
model_embed	answerdotai_ModernBERT-base | delta	all_var	p_eq	245	0.27562535232575763	1.2019155652617361e-05	0.4380503207736486	6.57330035359923e-13
model_embed	answerdotai_ModernBERT-base | delta	form_sil	p_eq	224	0.022577599909771533	0.7368234354879704	0.03688147193196859	0.5829437263171222
model_embed	answerdotai_ModernBERT-base | delta	form_var_mean	p_eq	224	0.05081350931571564	0.4492049527221173	0.10434987385688399	0.11940339693709369
model_embed	answerdotai_ModernBERT-base | delta	k2_form_sil_ratio	p_eq	224	0.19695586671599666	0.003073145708920208	0.3301237177217768	4.2893411593094973e-07
model_embed	answerdotai_ModernBERT-base | delta	k2_form_var_ratio	p_eq	224	-0.18819721902188263	0.004710128931711079	-0.3304555921077278	4.1698685883425393e-07
model_embed	answerdotai_ModernBERT-base | delta	k2_sil	p_eq	245	0.2793353657682904	9.054521580139247e-06	0.28807887360170525	4.569741585124002e-06
model_embed	answerdotai_ModernBERT-base | delta	k2_var_mean	p_eq	245	-0.014537983947354931	0.8208874685970619	0.01183698350696902	0.8537490631081709
model_embed	answerdotai_ModernBERT-base | orig	all_var	p_cat	245	-0.1917630776234614	0.0025762368689627906	-0.21368018073814332	0.0007613271473286709
model_embed	answerdotai_ModernBERT-base | orig	form_sil	p_cat	224	-0.14330802657830846	0.03203956544247443	-0.054590837318818926	0.4161743533156514
model_embed	answerdotai_ModernBERT-base | orig	form_var_mean	p_cat	224	-0.3598001631012936	2.997700051720442e-08	-0.32093872328796463	9.251671435339374e-07
model_embed	answerdotai_ModernBERT-base | orig	k2_form_sil_ratio	p_cat	224	-0.1674037968387482	0.012101007225318587	-0.3788634301453583	4.672284073537516e-09
model_embed	answerdotai_ModernBERT-base | orig	k2_form_var_ratio	p_cat	224	0.7530322670104561	3.1170001811592235e-42	0.44613231488771615	2.3577014799741904e-12
model_embed	answerdotai_ModernBERT-base | orig	k2_sil	p_cat	245	-0.2947385662226386	2.6726564993541014e-06	-0.4017765848860296	6.401994266595986e-11
model_embed	answerdotai_ModernBERT-base | orig	k2_var_mean	p_cat	245	-0.12890306654904687	0.04382602027453185	-0.1464923323769385	0.021811829805994522
model_embed	answerdotai_ModernBERT-base | orig	all_var	p_eq	245	0.17092769871924898	0.0073288170792040926	0.1964935165606067	0.00200115327370999
model_embed	answerdotai_ModernBERT-base | orig	form_sil	p_eq	224	-0.015394762308411945	0.8187661567081111	-0.006361897547031701	0.9245654999403499
model_embed	answerdotai_ModernBERT-base | orig	form_var_mean	p_eq	224	0.16268454786257389	0.014790147902343278	0.18347239967246723	0.005886861628436533
model_embed	answerdotai_ModernBERT-base | orig	k2_form_sil_ratio	p_eq	224	0.2884795270940256	1.1490453358233455e-05	0.3316500792843458	3.765706030211053e-07
model_embed	answerdotai_ModernBERT-base | orig	k2_form_var_ratio	p_eq	224	-0.27211285191340123	3.659478608334386e-05	-0.47847600614573377	3.2280710257725844e-14
model_embed	answerdotai_ModernBERT-base | orig	k2_sil	p_eq	245	0.2382297126327671	0.00016711470178513014	0.3283496064852174	1.4424822556860533e-07
model_embed	answerdotai_ModernBERT-base | orig	k2_var_mean	p_eq	245	0.04440251775927058	0.4890652541127659	0.035718235990868166	0.5779393190677238
